code,entity,solar_generation_twh,year
,Africa,0.0,1965
,Africa,0.0,1966
,Africa,0.0,1967
,Africa,0.0,1968
,Africa,0.0,1969
,Africa,0.0,1970
,Africa,0.0,1971
,Africa,0.0,1972
,Africa,0.0,1973
,Africa,0.0,1974
,Africa,0.0,1975
,Africa,0.0,1976
,Africa,0.0,1977
,Africa,0.0,1978
,Africa,0.0,1979
,Africa,0.0,1980
,Africa,0.0,1981
,Africa,0.0,1982
,Africa,0.0,1983
,Africa,0.0,1984
,Africa,0.0,1985
,Africa,0.0,1986
,Africa,0.0,1987
,Africa,0.0,1988
,Africa,0.0,1989
,Africa,0.0,1990
,Africa,0.0,1991
,Africa,0.0,1992
,Africa,0.0,1993
,Africa,0.0,1994
,Africa,0.0,1995
,Africa,0.0,1996
,Africa,0.0,1997
,Africa,0.0,1998
,Africa,0.0,1999
,Africa,0.0184,2000
,Africa,0.0247,2001
,Africa,0.03080101,2002
,Africa,0.03390101,2003
,Africa,0.03910101,2004
,Africa,0.04420101,2005
,Africa,0.05190101,2006
,Africa,0.063625293,2007
,Africa,0.084917202,2008
,Africa,0.107869927,2009
,Africa,0.22386475,2010
,Africa,0.460530301,2011
,Africa,0.553427126,2012
,Africa,0.824283141,2013
,Africa,1.826255884,2014
,Africa,3.568277276,2015
,Africa,4.911321327,2016
,Africa,6.610571458,2017
,Africa,9.029088999,2018
DZA,Algeria,0.0,1965
DZA,Algeria,0.0,1966
DZA,Algeria,0.0,1967
DZA,Algeria,0.0,1968
DZA,Algeria,0.0,1969
DZA,Algeria,0.0,1970
DZA,Algeria,0.0,1971
DZA,Algeria,0.0,1972
DZA,Algeria,0.0,1973
DZA,Algeria,0.0,1974
DZA,Algeria,0.0,1975
DZA,Algeria,0.0,1976
DZA,Algeria,0.0,1977
DZA,Algeria,0.0,1978
DZA,Algeria,0.0,1979
DZA,Algeria,0.0,1980
DZA,Algeria,0.0,1981
DZA,Algeria,0.0,1982
DZA,Algeria,0.0,1983
DZA,Algeria,0.0,1984
DZA,Algeria,0.0,1985
DZA,Algeria,0.0,1986
DZA,Algeria,0.0,1987
DZA,Algeria,0.0,1988
DZA,Algeria,0.0,1989
DZA,Algeria,0.0,1990
DZA,Algeria,0.0,1991
DZA,Algeria,0.0,1992
DZA,Algeria,0.0,1993
DZA,Algeria,0.0,1994
DZA,Algeria,0.0,1995
DZA,Algeria,0.0,1996
DZA,Algeria,0.0,1997
DZA,Algeria,0.0,1998
DZA,Algeria,0.0,1999
DZA,Algeria,0.0,2000
DZA,Algeria,0.0,2001
DZA,Algeria,0.0,2002
DZA,Algeria,0.0,2003
DZA,Algeria,0.0,2004
DZA,Algeria,0.0,2005
DZA,Algeria,0.0,2006
DZA,Algeria,0.0,2007
DZA,Algeria,0.0,2008
DZA,Algeria,0.0,2009
DZA,Algeria,0.0091,2010
DZA,Algeria,0.01811875,2011
DZA,Algeria,0.026723014,2012
DZA,Algeria,0.0286,2013
DZA,Algeria,0.06,2014
DZA,Algeria,0.058,2015
DZA,Algeria,0.245,2016
DZA,Algeria,0.504,2017
DZA,Algeria,0.603,2018
ARG,Argentina,0.0,1965
ARG,Argentina,0.0,1966
ARG,Argentina,0.0,1967
ARG,Argentina,0.0,1968
ARG,Argentina,0.0,1969
ARG,Argentina,0.0,1970
ARG,Argentina,0.0,1971
ARG,Argentina,0.0,1972
ARG,Argentina,0.0,1973
ARG,Argentina,0.0,1974
ARG,Argentina,0.0,1975
ARG,Argentina,0.0,1976
ARG,Argentina,0.0,1977
ARG,Argentina,0.0,1978
ARG,Argentina,0.0,1979
ARG,Argentina,0.0,1980
ARG,Argentina,0.0,1981
ARG,Argentina,0.0,1982
ARG,Argentina,0.0,1983
ARG,Argentina,0.0,1984
ARG,Argentina,0.0,1985
ARG,Argentina,0.0,1986
ARG,Argentina,0.0,1987
ARG,Argentina,0.0,1988
ARG,Argentina,0.0,1989
ARG,Argentina,0.0,1990
ARG,Argentina,0.0,1991
ARG,Argentina,0.0,1992
ARG,Argentina,0.0,1993
ARG,Argentina,0.0,1994
ARG,Argentina,0.0,1995
ARG,Argentina,0.0,1996
ARG,Argentina,0.0,1997
ARG,Argentina,1.7e-05,1998
ARG,Argentina,2.6e-05,1999
ARG,Argentina,3.6e-05,2000
ARG,Argentina,4.3e-05,2001
ARG,Argentina,4.7e-05,2002
ARG,Argentina,6.5e-05,2003
ARG,Argentina,7e-05,2004
ARG,Argentina,8.1e-05,2005
ARG,Argentina,9e-05,2006
ARG,Argentina,0.0001089,2007
ARG,Argentina,0.0001437,2008
ARG,Argentina,7.6084e-05,2009
ARG,Argentina,8.589e-05,2010
ARG,Argentina,0.001614,2011
ARG,Argentina,0.008172967,2012
ARG,Argentina,0.015074079,2013
ARG,Argentina,0.015944,2014
ARG,Argentina,0.014683,2015
ARG,Argentina,0.014273,2016
ARG,Argentina,0.016417,2017
ARG,Argentina,0.108128528,2018
,Asia Pacific,0.0,1965
,Asia Pacific,0.0,1966
,Asia Pacific,0.0,1967
,Asia Pacific,0.0,1968
,Asia Pacific,0.0,1969
,Asia Pacific,0.0,1970
,Asia Pacific,0.0,1971
,Asia Pacific,0.0,1972
,Asia Pacific,0.0,1973
,Asia Pacific,0.0,1974
,Asia Pacific,0.0,1975
,Asia Pacific,0.0,1976
,Asia Pacific,0.0,1977
,Asia Pacific,0.0,1978
,Asia Pacific,0.0,1979
,Asia Pacific,0.0,1980
,Asia Pacific,0.0,1981
,Asia Pacific,0.0,1982
,Asia Pacific,0.0,1983
,Asia Pacific,0.0,1984
,Asia Pacific,0.0,1985
,Asia Pacific,0.0,1986
,Asia Pacific,0.0,1987
,Asia Pacific,0.0,1988
,Asia Pacific,0.0,1989
,Asia Pacific,0.004,1990
,Asia Pacific,0.00945,1991
,Asia Pacific,0.0276,1992
,Asia Pacific,0.0431,1993
,Asia Pacific,0.0534,1994
,Asia Pacific,0.070660101,1995
,Asia Pacific,0.098160606,1996
,Asia Pacific,0.147015452,1997
,Asia Pacific,0.202918856,1998
,Asia Pacific,0.286266606,1999
,Asia Pacific,0.428429426,2000
,Asia Pacific,0.608465426,2001
,Asia Pacific,0.829254425,2002
,Asia Pacific,1.116542608,2003
,Asia Pacific,1.464055013,2004
,Asia Pacific,1.852813527,2005
,Asia Pacific,2.29127578,2006
,Asia Pacific,2.748580976,2007
,Asia Pacific,3.330602555,2008
,Asia Pacific,4.383497988,2009
,Asia Pacific,6.738748497,2010
,Asia Pacific,12.15439924,2011
,Asia Pacific,17.5830281,2012
,Asia Pacific,32.33890709,2013
,Asia Pacific,62.87474908,2014
,Asia Pacific,99.19372578,2015
,Asia Pacific,141.7552294,2016
,Asia Pacific,227.1966379,2017
,Asia Pacific,314.2085529,2018
AUS,Australia,0.0,1965
AUS,Australia,0.0,1966
AUS,Australia,0.0,1967
AUS,Australia,0.0,1968
AUS,Australia,0.0,1969
AUS,Australia,0.0,1970
AUS,Australia,0.0,1971
AUS,Australia,0.0,1972
AUS,Australia,0.0,1973
AUS,Australia,0.0,1974
AUS,Australia,0.0,1975
AUS,Australia,0.0,1976
AUS,Australia,0.0,1977
AUS,Australia,0.0,1978
AUS,Australia,0.0,1979
AUS,Australia,0.0,1980
AUS,Australia,0.0,1981
AUS,Australia,0.0,1982
AUS,Australia,0.0,1983
AUS,Australia,0.0,1984
AUS,Australia,0.0,1985
AUS,Australia,0.0,1986
AUS,Australia,0.0,1987
AUS,Australia,0.0,1988
AUS,Australia,0.0,1989
AUS,Australia,0.0,1990
AUS,Australia,0.00545,1991
AUS,Australia,0.0121,1992
AUS,Australia,0.0146,1993
AUS,Australia,0.0174,1994
AUS,Australia,0.02115,1995
AUS,Australia,0.0256,1996
AUS,Australia,0.03065,1997
AUS,Australia,0.0356,1998
AUS,Australia,0.0406,1999
AUS,Australia,0.04675,2000
AUS,Australia,0.05415,2001
AUS,Australia,0.0583,2002
AUS,Australia,0.0632,2003
AUS,Australia,0.07295,2004
AUS,Australia,0.08405,2005
AUS,Australia,0.0975,2006
AUS,Australia,0.11375,2007
AUS,Australia,0.1392,2008
AUS,Australia,0.29024203,2009
AUS,Australia,0.97764828,2010
AUS,Australia,2.04454657,2011
AUS,Australia,2.412,2012
AUS,Australia,3.8474,2013
AUS,Australia,4.952,2014
AUS,Australia,5.958,2015
AUS,Australia,7.474595,2016
AUS,Australia,8.95511,2017
AUS,Australia,12.081099,2018
AUT,Austria,0.0,1965
AUT,Austria,0.0,1966
AUT,Austria,0.0,1967
AUT,Austria,0.0,1968
AUT,Austria,0.0,1969
AUT,Austria,0.0,1970
AUT,Austria,0.0,1971
AUT,Austria,0.0,1972
AUT,Austria,0.0,1973
AUT,Austria,0.0,1974
AUT,Austria,0.0,1975
AUT,Austria,0.0,1976
AUT,Austria,0.0,1977
AUT,Austria,0.0,1978
AUT,Austria,0.0,1979
AUT,Austria,0.0,1980
AUT,Austria,0.0,1981
AUT,Austria,0.0,1982
AUT,Austria,0.0,1983
AUT,Austria,0.0,1984
AUT,Austria,0.0,1985
AUT,Austria,0.0,1986
AUT,Austria,0.0,1987
AUT,Austria,0.0,1988
AUT,Austria,0.0,1989
AUT,Austria,0.0,1990
AUT,Austria,0.0,1991
AUT,Austria,0.0,1992
AUT,Austria,0.001,1993
AUT,Austria,0.001,1994
AUT,Austria,0.001,1995
AUT,Austria,0.001,1996
AUT,Austria,0.002,1997
AUT,Austria,0.002,1998
AUT,Austria,0.002,1999
AUT,Austria,0.003,2000
AUT,Austria,0.005,2001
AUT,Austria,0.009,2002
AUT,Austria,0.015,2003
AUT,Austria,0.018,2004
AUT,Austria,0.021018375,2005
AUT,Austria,0.022386875,2006
AUT,Austria,0.024238375,2007
AUT,Austria,0.03011991,2008
AUT,Austria,0.04891428,2009
AUT,Austria,0.08881314,2010
AUT,Austria,0.17406996,2011
AUT,Austria,0.33748305,2012
AUT,Austria,0.625974,2013
AUT,Austria,0.785246,2014
AUT,Austria,0.937098,2015
AUT,Austria,1.096016,2016
AUT,Austria,1.268971,2017
AUT,Austria,1.578641473,2018
AZE,Azerbaijan,0.0,1985
AZE,Azerbaijan,0.0,1986
AZE,Azerbaijan,0.0,1987
AZE,Azerbaijan,0.0,1988
AZE,Azerbaijan,0.0,1989
AZE,Azerbaijan,0.0,1990
AZE,Azerbaijan,0.0,1991
AZE,Azerbaijan,0.0,1992
AZE,Azerbaijan,0.0,1993
AZE,Azerbaijan,0.0,1994
AZE,Azerbaijan,0.0,1995
AZE,Azerbaijan,0.0,1996
AZE,Azerbaijan,0.0,1997
AZE,Azerbaijan,0.0,1998
AZE,Azerbaijan,0.0,1999
AZE,Azerbaijan,0.0,2000
AZE,Azerbaijan,0.0,2001
AZE,Azerbaijan,0.0,2002
AZE,Azerbaijan,0.0,2003
AZE,Azerbaijan,0.0,2004
AZE,Azerbaijan,0.0,2005
AZE,Azerbaijan,0.0,2006
AZE,Azerbaijan,0.0,2007
AZE,Azerbaijan,0.0,2008
AZE,Azerbaijan,0.0,2009
AZE,Azerbaijan,0.0,2010
AZE,Azerbaijan,0.0,2011
AZE,Azerbaijan,0.0,2012
AZE,Azerbaijan,0.0008,2013
AZE,Azerbaijan,0.0029,2014
AZE,Azerbaijan,0.0046,2015
AZE,Azerbaijan,0.0353,2016
AZE,Azerbaijan,0.0372,2017
AZE,Azerbaijan,0.03926,2018
BGD,Bangladesh,0.0,1965
BGD,Bangladesh,0.0,1966
BGD,Bangladesh,0.0,1967
BGD,Bangladesh,0.0,1968
BGD,Bangladesh,0.0,1969
BGD,Bangladesh,0.0,1970
BGD,Bangladesh,0.0,1971
BGD,Bangladesh,0.0,1972
BGD,Bangladesh,0.0,1973
BGD,Bangladesh,0.0,1974
BGD,Bangladesh,0.0,1975
BGD,Bangladesh,0.0,1976
BGD,Bangladesh,0.0,1977
BGD,Bangladesh,0.0,1978
BGD,Bangladesh,0.0,1979
BGD,Bangladesh,0.0,1980
BGD,Bangladesh,0.0,1981
BGD,Bangladesh,0.0,1982
BGD,Bangladesh,0.0,1983
BGD,Bangladesh,0.0,1984
BGD,Bangladesh,0.0,1985
BGD,Bangladesh,0.0,1986
BGD,Bangladesh,0.0,1987
BGD,Bangladesh,0.0,1988
BGD,Bangladesh,0.0,1989
BGD,Bangladesh,0.0,1990
BGD,Bangladesh,0.0,1991
BGD,Bangladesh,0.0,1992
BGD,Bangladesh,0.0,1993
BGD,Bangladesh,0.0,1994
BGD,Bangladesh,0.0,1995
BGD,Bangladesh,0.0,1996
BGD,Bangladesh,0.0,1997
BGD,Bangladesh,0.0,1998
BGD,Bangladesh,0.0,1999
BGD,Bangladesh,0.0,2000
BGD,Bangladesh,0.0,2001
BGD,Bangladesh,0.0001,2002
BGD,Bangladesh,0.0009,2003
BGD,Bangladesh,0.0019,2004
BGD,Bangladesh,0.0034,2005
BGD,Bangladesh,0.0054,2006
BGD,Bangladesh,0.009,2007
BGD,Bangladesh,0.0152,2008
BGD,Bangladesh,0.0251,2009
BGD,Bangladesh,0.0443,2010
BGD,Bangladesh,0.0584,2011
BGD,Bangladesh,0.0909,2012
BGD,Bangladesh,0.1296,2013
BGD,Bangladesh,0.1676,2014
BGD,Bangladesh,0.2044,2015
BGD,Bangladesh,0.2243,2016
BGD,Bangladesh,0.265005663,2017
BGD,Bangladesh,0.299208359,2018
BLR,Belarus,0.0,1985
BLR,Belarus,0.0,1986
BLR,Belarus,0.0,1987
BLR,Belarus,0.0,1988
BLR,Belarus,0.0,1989
BLR,Belarus,0.0,1990
BLR,Belarus,0.0,1991
BLR,Belarus,0.0,1992
BLR,Belarus,0.0,1993
BLR,Belarus,0.0,1994
BLR,Belarus,0.0,1995
BLR,Belarus,0.0,1996
BLR,Belarus,0.0,1997
BLR,Belarus,0.0,1998
BLR,Belarus,0.0,1999
BLR,Belarus,0.0,2000
BLR,Belarus,0.0,2001
BLR,Belarus,0.0,2002
BLR,Belarus,0.0,2003
BLR,Belarus,0.0,2004
BLR,Belarus,0.0,2005
BLR,Belarus,0.0,2006
BLR,Belarus,0.0,2007
BLR,Belarus,0.0,2008
BLR,Belarus,0.0,2009
BLR,Belarus,0.0,2010
BLR,Belarus,0.0,2011
BLR,Belarus,0.0,2012
BLR,Belarus,0.0004,2013
BLR,Belarus,0.002,2014
BLR,Belarus,0.009,2015
BLR,Belarus,0.026,2016
BLR,Belarus,0.089,2017
BLR,Belarus,0.134485968,2018
BEL,Belgium,0.0,1965
BEL,Belgium,0.0,1966
BEL,Belgium,0.0,1967
BEL,Belgium,0.0,1968
BEL,Belgium,0.0,1969
BEL,Belgium,0.0,1970
BEL,Belgium,0.0,1971
BEL,Belgium,0.0,1972
BEL,Belgium,0.0,1973
BEL,Belgium,0.0,1974
BEL,Belgium,0.0,1975
BEL,Belgium,0.0,1976
BEL,Belgium,0.0,1977
BEL,Belgium,0.0,1978
BEL,Belgium,0.0,1979
BEL,Belgium,0.0,1980
BEL,Belgium,0.0,1981
BEL,Belgium,0.0,1982
BEL,Belgium,0.0,1983
BEL,Belgium,0.0,1984
BEL,Belgium,0.0,1985
BEL,Belgium,0.0,1986
BEL,Belgium,0.0,1987
BEL,Belgium,0.0,1988
BEL,Belgium,0.0,1989
BEL,Belgium,0.0,1990
BEL,Belgium,0.0,1991
BEL,Belgium,0.0,1992
BEL,Belgium,0.0,1993
BEL,Belgium,0.0,1994
BEL,Belgium,0.0,1995
BEL,Belgium,0.0,1996
BEL,Belgium,0.0,1997
BEL,Belgium,0.0,1998
BEL,Belgium,0.0,1999
BEL,Belgium,0.0,2000
BEL,Belgium,0.0,2001
BEL,Belgium,0.0,2002
BEL,Belgium,0.0,2003
BEL,Belgium,0.001,2004
BEL,Belgium,0.001,2005
BEL,Belgium,0.002,2006
BEL,Belgium,0.006,2007
BEL,Belgium,0.042,2008
BEL,Belgium,0.166,2009
BEL,Belgium,0.56,2010
BEL,Belgium,1.169,2011
BEL,Belgium,2.148,2012
BEL,Belgium,2.644,2013
BEL,Belgium,2.883,2014
BEL,Belgium,3.053,2015
BEL,Belgium,3.092,2016
BEL,Belgium,3.2876,2017
BEL,Belgium,3.971724224,2018
BRA,Brazil,0.0,1965
BRA,Brazil,0.0,1966
BRA,Brazil,0.0,1967
BRA,Brazil,0.0,1968
BRA,Brazil,0.0,1969
BRA,Brazil,0.0,1970
BRA,Brazil,0.0,1971
BRA,Brazil,0.0,1972
BRA,Brazil,0.0,1973
BRA,Brazil,0.0,1974
BRA,Brazil,0.0,1975
BRA,Brazil,0.0,1976
BRA,Brazil,0.0,1977
BRA,Brazil,0.0,1978
BRA,Brazil,0.0,1979
BRA,Brazil,0.0,1980
BRA,Brazil,0.0,1981
BRA,Brazil,0.0,1982
BRA,Brazil,0.0,1983
BRA,Brazil,0.0,1984
BRA,Brazil,0.0,1985
BRA,Brazil,0.0,1986
BRA,Brazil,0.0,1987
BRA,Brazil,0.0,1988
BRA,Brazil,0.0,1989
BRA,Brazil,0.0,1990
BRA,Brazil,0.0,1991
BRA,Brazil,0.0,1992
BRA,Brazil,0.0,1993
BRA,Brazil,0.0,1994
BRA,Brazil,0.0,1995
BRA,Brazil,0.0,1996
BRA,Brazil,0.0,1997
BRA,Brazil,0.0,1998
BRA,Brazil,0.0,1999
BRA,Brazil,0.0,2000
BRA,Brazil,0.0,2001
BRA,Brazil,0.0,2002
BRA,Brazil,0.0,2003
BRA,Brazil,0.0,2004
BRA,Brazil,0.0,2005
BRA,Brazil,0.0,2006
BRA,Brazil,0.0,2007
BRA,Brazil,0.0,2008
BRA,Brazil,0.0,2009
BRA,Brazil,0.0,2010
BRA,Brazil,0.0,2011
BRA,Brazil,0.00098,2012
BRA,Brazil,0.004793593,2013
BRA,Brazil,0.016081802,2014
BRA,Brazil,0.058917412,2015
BRA,Brazil,0.085260592,2016
BRA,Brazil,0.831813401,2017
BRA,Brazil,3.137078404,2018
BGR,Bulgaria,0.0,1965
BGR,Bulgaria,0.0,1966
BGR,Bulgaria,0.0,1967
BGR,Bulgaria,0.0,1968
BGR,Bulgaria,0.0,1969
BGR,Bulgaria,0.0,1970
BGR,Bulgaria,0.0,1971
BGR,Bulgaria,0.0,1972
BGR,Bulgaria,0.0,1973
BGR,Bulgaria,0.0,1974
BGR,Bulgaria,0.0,1975
BGR,Bulgaria,0.0,1976
BGR,Bulgaria,0.0,1977
BGR,Bulgaria,0.0,1978
BGR,Bulgaria,0.0,1979
BGR,Bulgaria,0.0,1980
BGR,Bulgaria,0.0,1981
BGR,Bulgaria,0.0,1982
BGR,Bulgaria,0.0,1983
BGR,Bulgaria,0.0,1984
BGR,Bulgaria,0.0,1985
BGR,Bulgaria,0.0,1986
BGR,Bulgaria,0.0,1987
BGR,Bulgaria,0.0,1988
BGR,Bulgaria,0.0,1989
BGR,Bulgaria,0.0,1990
BGR,Bulgaria,0.0,1991
BGR,Bulgaria,0.0,1992
BGR,Bulgaria,0.0,1993
BGR,Bulgaria,0.0,1994
BGR,Bulgaria,0.0,1995
BGR,Bulgaria,0.0,1996
BGR,Bulgaria,0.0,1997
BGR,Bulgaria,0.0,1998
BGR,Bulgaria,0.0,1999
BGR,Bulgaria,0.0,2000
BGR,Bulgaria,0.0,2001
BGR,Bulgaria,0.0,2002
BGR,Bulgaria,0.0,2003
BGR,Bulgaria,0.0,2004
BGR,Bulgaria,0.0,2005
BGR,Bulgaria,0.0,2006
BGR,Bulgaria,0.0,2007
BGR,Bulgaria,0.0,2008
BGR,Bulgaria,0.003,2009
BGR,Bulgaria,0.015,2010
BGR,Bulgaria,0.101,2011
BGR,Bulgaria,0.814,2012
BGR,Bulgaria,1.361,2013
BGR,Bulgaria,1.252,2014
BGR,Bulgaria,1.383,2015
BGR,Bulgaria,1.386,2016
BGR,Bulgaria,1.402965,2017
BGR,Bulgaria,1.103538835,2018
,CIS,0.0,1965
,CIS,0.0,1966
,CIS,0.0,1967
,CIS,0.0,1968
,CIS,0.0,1969
,CIS,0.0,1970
,CIS,0.0,1971
,CIS,0.0,1972
,CIS,0.0,1973
,CIS,0.0,1974
,CIS,0.0,1975
,CIS,0.0,1976
,CIS,0.0,1977
,CIS,0.0,1978
,CIS,0.0,1979
,CIS,0.0,1980
,CIS,0.0,1981
,CIS,0.0,1982
,CIS,0.0,1983
,CIS,0.0,1984
,CIS,0.0,1985
,CIS,0.0,1986
,CIS,0.0,1987
,CIS,0.0,1988
,CIS,0.0,1989
,CIS,0.0,1990
,CIS,0.0,1991
,CIS,0.0,1992
,CIS,0.0,1993
,CIS,0.0,1994
,CIS,0.0,1995
,CIS,0.0,1996
,CIS,0.0,1997
,CIS,0.0,1998
,CIS,0.0,1999
,CIS,0.0,2000
,CIS,0.0,2001
,CIS,0.0,2002
,CIS,0.0,2003
,CIS,0.0,2004
,CIS,0.0,2005
,CIS,0.0,2006
,CIS,0.0,2007
,CIS,0.0,2008
,CIS,7.375e-06,2009
,CIS,0.000240125,2010
,CIS,0.00182275,2011
,CIS,0.006337759,2012
,CIS,0.0188439,2013
,CIS,0.17737725,2014
,CIS,0.41103975,2015
,CIS,0.635749874,2016
,CIS,0.76729925,2017
,CIS,0.881300118,2018
CAN,Canada,0.0,1965
CAN,Canada,0.0,1966
CAN,Canada,0.0,1967
CAN,Canada,0.0,1968
CAN,Canada,0.0,1969
CAN,Canada,0.0,1970
CAN,Canada,0.0,1971
CAN,Canada,0.0,1972
CAN,Canada,0.0,1973
CAN,Canada,0.0,1974
CAN,Canada,0.0,1975
CAN,Canada,0.0,1976
CAN,Canada,0.0,1977
CAN,Canada,0.0,1978
CAN,Canada,0.0,1979
CAN,Canada,0.0,1980
CAN,Canada,0.0,1981
